KEGG ID	UniProt ID	Gene	Protein	# SR in AS	Mean SR - AS minimum distance	cys in AS	# SR in BS	Mean SR - BS minimum distance	cys in BS	# Disulfide bonds	Mean S-S - AS/BS minimum distance	Cofactor	Subsystem	Evidence	Study organism	ecNumber	EC class	BRENDA evidence	BRENDA organism
PP_3713	Q88GK8	catA-I	catechol 1,2-dioxygenase	0	0.0	0	0	0.0	0	0	0.0	Fe(3+) (Fe)	S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway	"Rates of inactivation were reduced in the presence of superoxide dismutase, catalase, formate, and mannitol, which implies that superoxide anion, hydrogen peroxide, and hydroxyl radical exhibit additional inactivation. (DOI: 10.1128/aem.47.3.500?505.1984) ; BRENDA"	Pseudomonas putida	1.13.11.1	Oxidoreductases		Geobacillus sp.
PP_3166	Q88I35	catA-II	catechol 1,2-dioxygenase	0	0.0	0	0	0.0	0	0	0.0	Fe(3+) (Fe)	S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway	BRENDA		1.13.11.1	Oxidoreductases		Geobacillus sp.
PP_0823	P59392	selD	Selenide, water dikinase	1	5.08	1	2	5.21	0	0	0.0		Unassigned	BRENDA		2.7.9.3	Transferases		Haemophilus influenzae AND Escherichia coli
PP_5141	Q88CN9	thyA	Thymidylate synthase	1	3.84	1	6	4.62	0	0	0.0		S_Pyrimidine_Metabolism	BRENDA		2.1.1.45	Transferases	catalytic sulfhydryl groups. Inactivation of the enzyme by these reagents is strictly correlated with a loss in ability of the enzyme to form covalent ternary complexes	Lacticaseibacillus casei
PP_2518	Q88JX5	galA	Gallate dioxygenase	2	5.95	0	0	0.0	0	0	0.0	Fe(2+) (Fe)	S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism	BRENDA		1.13.11.57	Oxidoreductases	" Nogales, J.; Canales, A.; Jimenez-Barbero, J.; Garcia, J.L.; Diaz, E.: Molecular characterization of the gallate dioxygenase from Pseudomonas putida KT2440. The prototype of a new subgroup of extradiol dioxygenases:: J. Biol. Chem. (2005) 280, 35382-35390. {Pubmed:16030014}"	Pseudomonas putida
PP_3945	Q88FY1	nicX	2,5-dihydroxypyridine 5,6-dioxygenase	0	0.0	0	2	4.06	0	0	0.0	Fe(2+) (Fe)	S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway	BRENDA		1.13.11.9	Oxidoreductases	" Nozaki, M.: Nonheme iron dioxygenase:: Mol. Mech. Oxygen Activ. (Hayaishi, O., ed.) Academic Press, New York (1974) , 135-165. {Pubmed:} AND  Gauthier, J.J.; Rittenberg, S.C.: The metabolism of nicotinic acid. I. Purification and properties of 2,5-dihydroxypyridine oxygenase from Pseudomonas putida N-9:: J. Biol. Chem. (1971) 246, 3737-3742. {Pubmed:5578917} AND  Jimenez, J.; Canales, A.; Jimenez-Barbero, J.; Ginalski, K.; Rychlewski, L.; Garcia, J.; Diaz, E.: Deciphering the genetic determinants for aerobic nicotinic acid degradation: The nic cluster from Pseudomonas putida KT2440:: Proc. Natl. Acad. Sci. USA (2008) 105, 11329-11334. {Pubmed:18678916}"	Pseudomonas putida
PP_0328	Q88R06	fdhA	Formaldehyde dehydrogenase	0	0.0	0	0	0.0	0	0	0.0	Zn(2+) (Zn)	S_Formaldehyde_Metabolism	BRENDA		1.2.1.46	Oxidoreductases	" Ogushi, S.; Ando, M.; Tsuru, D.: Formaldehyde dehydrogenase from Pseudomonas putida: the role of a cysteinyl residue in the enzyme activity:: Agric. Biol. Chem. (1986) 50, 2503-2507. {Pubmed:}"	Pseudomonas putida AND Homo sapiens AND Mus musculus
PP_1308	Q88NA4	mdeA	L-methionine gamma-lyase	0	0.0	0	0	0.0	0	0	0.0		S_Methionine_Metabolism	BRENDA		4.4.1.11	Lyases		Pseudomonas sp.
PP_3433	Q88HC7	hpd	4-hydroxyphenylpyruvate dioxygenase	0	0.0	0	2	5.42	0	0	0.0	Fe cation (Fe)	S_Aromatic_Compounds_Degradation__Homogentisate_pathway	BRENDA		1.13.11.27	Oxidoreductases	" Hawkes, T.R.; Langford, M.P.; Viner, R.; Blain, R.E.; Callaghan, F.M.; Mackay, E.A.; Hogg, B.V.; Singh, S.; Dale, R.P.: Characterization of 4-hydroxyphenylpyruvate dioxygenases, inhibition by herbicides and engineering for herbicide tolerance in crops:: Pestic. Biochem. Physiol. (2019) 156, 9-28. {Pubmed:31027586}"	Pseudomonas sp. AND Homo sapiens
PP_4187	Q88FB1	lpdG	Dihydrolipoyl dehydrogenase	1	3.03	0	7	4.3	1	1	3.15		S_TCA_Cycle AND S_Glycine__Serine_and_threonine_metabolism	"ROS inhibits enzyme in eukariotes, similar properties in homologous prokariotic proteins (doi: 10.3109/10715762.2012.752078)(""Changes in dihydrolipoamide dehydrogenase expression and oxidative inactivation in vitro"") ; BRENDA"	Rat	1.8.1.4	Oxidoreductases	Sulfenation responsible for protein inactivation	Rattus norvegicus
PP_5366	Q88C17	lpd	Dihydrolipoyl dehydrogenase	1	3.01	0	5	4.75	0	1	7.6		S_TCA_Cycle	"ROS inhibits enzyme in eukariotes, similar properties in homologous prokariotic proteins (doi: 10.3109/10715762.2012.752078)(?â?é?é?ôReversible inactivation of dihydrolipoamide dehydrogenase by mitochondrial hydrogen peroxide?â?é?é?ö) ; BRENDA"	Rat	1.8.1.4	Oxidoreductases		Rattus norvegicus
PP_4011	Q88FS2	icd	Isocitrate dehydrogenase [NADP]	0	0.0	0	11	4.51	0	0	0.0	Mn(2+) (Mn) AND Mn(2+) (Mn)	S_TCA_Cycle	"Inactivation of the enzyme by peroxynitrite or similar species (?ôDependent Isocitrate Dehydrogenase by Peroxynitrite?ö) ; BRENDA"	Pig	1.1.1.42	Oxidoreductases	Inhibition associated with the enzyme oxidation through the carbonylation	Rattus norvegicus AND Arabidopsis thaliana
PP_4012	Q88FS1	idh	Isocitrate dehydrogenase [NADP]	0	0.0	0	9	4.79	0	0	0.0	Mn(2+) (Mn)	S_TCA_Cycle	BRENDA		1.1.1.42	Oxidoreductases		Rattus norvegicus AND Arabidopsis thaliana
PP_2112	Q88L24	acnA-I	Aconitate hydratase	0	0.0	0	0	0.0	0	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_TCA_Cycle	" Upon ROS exposure, mitoNEET [2Fe-2S] cluster is oxidized and aconitase [4Fe-4S] cluster is disassembled ( doi: 10.1093/mtomcs/mfae025) ; BRENDA"	E.coli, Human	4.2.1.3	Lyases	Prolonged exposure of mitochondria to steady-state levels of H2O2 or O2- results in disassembly of the [4Fe-4S]2+ cluster, carbonylation, and protein degradation	Rattus rattus AND Rattus norvegicus
PP_2336	Q88KF4	acnA-II	aconitate hydratase	0	0.0	0	0	0.0	0	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Alternate_Carbon__Propanoate_Metabolism	"Aconitase is sensitive to superoxide; see Gardner PR et al., 'Superoxide radical and iron modulate aconitase activity in mammalian cells' J Biol Chem 1995 doi:10.1074/jbc.270.22.13399. ; BRENDA"	E.coli, Human	4.2.1.3	Lyases		Rattus rattus AND Rattus norvegicus
PP_2339	Q88KF1	acnB	Aconitate hydratase B	0	0.0	0	8	4.46	3	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_TCA_Cycle	"Aconitase B is inactivated by superoxide (see Gardner PR et al., J Biol Chem 1995 doi:10.1074/jbc.270.22.13399). ; BRENDA"	E.coli, Human	4.2.1.3	Lyases		Rattus rattus AND Rattus norvegicus
PP_4116	Q88FI0	aceA	Isocitrate lyase	1	5.4	1	6	4.76	1	0	0.0		S_TCA_Cycle	BRENDA		4.1.3.1	Lyases	Sulphydril oxydation and residues carbonylation	Ricinus communis AND Chlamydomonas reinhardtii
PP_3942	Q88FY4	maiA	Maleate isomerase	2	4.73	2	3	4.21	1	0	0.0		S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway	"cis-trans isomerase gene (maiA) from Serratia marcescens : The enzyme has shown to be inactivated by H202 ( DOI: 10.1271/bbb.64.1477 ) ; BRENDA"	Serratia marcescens	5.2.1.1	Isomerases	Oxidation of cysteine, methione and tyrosine residues were suggested	Serratia marcescens AND Alcaligenes faecalis
PP_0915	Q88PD5	sodB	Superoxide dismutase [Fe]	0	0.0	0	3	4.23	0	0	0.0	Fe cation (Fe)	Unassigned	"Gradual inactivation of the enzyme due to ROS (https://doi.org/10.1021/cr4005296) ; BRENDA"	E.coli	1.15.1.1	Oxidoreductases	" An, S.S.; Kim, Y.M.: Purification and characterization of a manganese-containing superoxide dismutase from a carboxydobacterium, Pseudomonas carboxydohydrogena:: Mol. Cells (1997) 7, 730-737. {Pubmed:9509413}"	Stemona tuberosa AND Marinomonas sp. AND Homo sapiens AND Thermochaetoides thermophila AND Geobacillus stearothermophilus AND Leptolyngbya boryana AND Methanothermobacter thermautotrophicus AND Potentilla atrosanguinea AND Leishmania tropica AND Psidium guajava AND Chersonesometrus fulvipes AND Pseudoalteromonas haloplanktis AND Methanobacterium bryantii AND [Pseudomonas] carboxydohydrogena AND Halobacterium salinarum AND Arthrospira platensis AND Oplegnathus fasciatus AND Aeropyrum pernix AND Saccharomyces cerevisiae AND Bacteroides fragilis AND Photobacterium damselae subsp. piscicida AND Sinorhizobium meliloti AND Propionibacterium freudenreichii subsp. shermanii AND Rattus norvegicus AND Sus scrofa AND Cordyceps militaris AND Solanum lycopersicum AND Pinus sylvestris AND Radix lethospermi AND Aspergillus fumigatus AND Coxiella burnetii AND Candida albicans AND Deinococcus radiophilus AND Nocardia asteroides AND Gallus gallus AND Crithidia fasciculata AND Cryptosporidium parvum AND Perkinsus marinus AND Jatropha curcas AND Sonneratia alba AND Deschampsia antarctica AND Pseudomonas putida AND Bacteroides thetaiotaomicron AND Pisum sativum AND Saccharolobus solfataricus AND Ulva linza AND Curcuma longa AND Escherichia coli AND Rhodothermus sp. AND Caragana jubata AND Amaranthus hypochondriacus AND Avicennia marina AND Megalodesulfovibrio gigas AND Spirometra erinaceieuropaei AND Phytomonas sp. AND Sardinella aurita AND Porphyridium purpureum AND Curcuma aromatica AND Methylobacillus sp. AND Paracoccus denitrificans AND Acholeplasma laidlawii AND Zea mays AND Trypanosoma cruzi AND Nicotiana sp. AND Caulobacter vibrioides AND Trichinella pseudospiralis AND Trypanosoma brucei AND Virgibacillus halodenitrificans AND Pseudoalteromonas sp. AN AND Cenchrus americanus AND Clonorchis sinensis AND Thermoplasma acidophilum AND Mycolicibacterium phlei AND Crypthecodinium cohnii AND Klebsiella aerogenes AND Streptococcus mutans AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Mus musculus AND Photobacterium leiognathi AND Gordonia bronchialis AND Cereibacter sphaeroides AND Neospora caninum AND Ginkgo biloba AND Nuphar lutea AND Spinacia oleracea AND Methanobrevibacter arboriphilus AND Mycobacterium sp.
PP_0946	Q88PA4	sodA	Superoxide dismutase	0	0.0	0	3	4.61	0	0	0.0		Unassigned	"Superoxide dismutase (Mn-SOD/Fe-SOD families) can be directly inactivated by peroxynitrite-mediated nitration (doi:10.1073/pnas.93.21.11853) ; BRENDA"	Human	1.15.1.1	Oxidoreductases	" An, S.S.; Kim, Y.M.: Purification and characterization of a manganese-containing superoxide dismutase from a carboxydobacterium, Pseudomonas carboxydohydrogena:: Mol. Cells (1997) 7, 730-737. {Pubmed:9509413}"	Stemona tuberosa AND Marinomonas sp. AND Homo sapiens AND Thermochaetoides thermophila AND Geobacillus stearothermophilus AND Leptolyngbya boryana AND Methanothermobacter thermautotrophicus AND Potentilla atrosanguinea AND Leishmania tropica AND Psidium guajava AND Chersonesometrus fulvipes AND Pseudoalteromonas haloplanktis AND Methanobacterium bryantii AND [Pseudomonas] carboxydohydrogena AND Halobacterium salinarum AND Arthrospira platensis AND Oplegnathus fasciatus AND Aeropyrum pernix AND Saccharomyces cerevisiae AND Bacteroides fragilis AND Photobacterium damselae subsp. piscicida AND Sinorhizobium meliloti AND Propionibacterium freudenreichii subsp. shermanii AND Rattus norvegicus AND Sus scrofa AND Cordyceps militaris AND Solanum lycopersicum AND Pinus sylvestris AND Radix lethospermi AND Aspergillus fumigatus AND Coxiella burnetii AND Candida albicans AND Deinococcus radiophilus AND Nocardia asteroides AND Gallus gallus AND Crithidia fasciculata AND Cryptosporidium parvum AND Perkinsus marinus AND Jatropha curcas AND Sonneratia alba AND Deschampsia antarctica AND Pseudomonas putida AND Bacteroides thetaiotaomicron AND Pisum sativum AND Saccharolobus solfataricus AND Ulva linza AND Curcuma longa AND Escherichia coli AND Rhodothermus sp. AND Caragana jubata AND Amaranthus hypochondriacus AND Avicennia marina AND Megalodesulfovibrio gigas AND Spirometra erinaceieuropaei AND Phytomonas sp. AND Sardinella aurita AND Porphyridium purpureum AND Curcuma aromatica AND Methylobacillus sp. AND Paracoccus denitrificans AND Acholeplasma laidlawii AND Zea mays AND Trypanosoma cruzi AND Nicotiana sp. AND Caulobacter vibrioides AND Trichinella pseudospiralis AND Trypanosoma brucei AND Virgibacillus halodenitrificans AND Pseudoalteromonas sp. AN AND Cenchrus americanus AND Clonorchis sinensis AND Thermoplasma acidophilum AND Mycolicibacterium phlei AND Crypthecodinium cohnii AND Klebsiella aerogenes AND Streptococcus mutans AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Mus musculus AND Photobacterium leiognathi AND Gordonia bronchialis AND Cereibacter sphaeroides AND Neospora caninum AND Ginkgo biloba AND Nuphar lutea AND Spinacia oleracea AND Methanobrevibacter arboriphilus AND Mycobacterium sp.
pWW0_097	P06622	xylE	Metapyrocatechase	0	0.0	0	2	5.07	0	0	0.0	Fe(2+) (Fe)	S_Aromatic_Compounds_Degradation__Toluene_Pathway	BRENDA		1.13.11.2	Oxidoreductases		Stenotrophomonas maltophilia AND Variovorax sp. AND Stutzerimonas stutzeri
PP_5063	Q88CW7	betB	Betaine aldehyde dehydrogenase	1	3.83	1	7	5.49	1	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism	BRENDA		1.2.1.8	Oxidoreductases	Oxidation of catalytic site	Sus scrofa
PP_0897	Q88PF3		Fumarate hydratase class I	0	0.0	0	0	0.0	0	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_TCA_Cycle	"Well-known affected protein (https://doi.org/10.1016/j.bbrc.2022.05.017,  ; BRENDA"		4.2.1.2	Lyases		Sus scrofa
PP_5085	Q88CU5	maeB	NADP-dependent malic enzyme	1	5.28	0	0	0.0	0	0	0.0	Mn(2+) (Mn) AND Mn(2+) (Mn)	S_TCA_Cycle	BRENDA		1.1.1.40	Oxidoreductases	 It is suggested that maize malic enzyme is modified by reactive oxygen species like singlet oxygen and H2O2 generated by Cu2+-ascorbate system and the modified amino acid residue(s) may be located at or near the substrate-binding site of the enzyme	Zea mays
PP_0415	Q88QS3	rpe	Ribulose-phosphate 3-epimerase	0	5.13	0	2	5.95	0	0	0.0	Co(2+) (Co) AND Fe(2+) (Fe) AND Mn(2+) (Mn) AND Zn(2+) (Zn) AND a divalent metal cation (Fe_Generic_Divalent_Cation)	S_Pentose_Phosphate_Pathway	Easily affected by ROS, although this effect can be reverted by coordinating Mn2+ (doi: 10.1073/pnas.1100410108)	E.coli	5.1.3.1	Isomerases		
PP_1009	Q88P44	gapA	Glyceraldehyde-3-phosphate dehydrogenase	1	3.86	1	8	5.09	1	0	0.0		S_Gluconeogenesis	GAPDH is a known target of ROS, and oxidation of the active-site cysteine, C152, leads to enzyme inactivation, and formation of GAPDH aggregates, which are associated with cell death  (doi: 10.1039/d2cb00091a)		1.2.1.-	Oxidoreductases		
PP_1874	Q88LQ5	gpx	Glutathione peroxidase	1	5.06	1	0	0.0	0	0	0.0		Unassigned	Glutathione peroxidase family member reported to be affected by oxidative modification (see Miyamoto 2003 review).		1.11.1.9	Oxidoreductases		
PP_1686	Q88M88		Glutathione peroxidase	1	3.82	1	0	0.0	0	0	0.0		Unassigned	oxidation of sulfhydryl and selenocysteine groups at the active center are , resulting in the formation of a selenyl sulfide linkage		1.11.1.9	Oxidoreductases		
PP_0777	Q88PS1		Glutathione peroxidase	1	5.09	1	0	0.0	0	0	0.0		Unassigned	Glutathione peroxidase is susceptible to oxidative/nitrosative inactivation (e.g. J Biol Chem 1997 doi:10.1074/jbc.272.31.19152) (Miyamoto 2003).		1.11.1.9	Oxidoreductases		
PP_5228	Q88CF3	dapF	Diaminopimelate epimerase	2	6.14	2	4	4.72	0	0	0.0		S_Lysine_Metabolism	When CgDapF was treated with various concentrations of H2O2, the enzyme showed a concentration-dependent loss of activity, indicating the enzyme is indeed sensitive to oxidative environment (https://doi.org/10.1038/srep42318). Oxidation of cystein groups can lead to the formation of new disulfide bonds. 	Corynebacterium glutamicum	5.1.1.7	Isomerases		
