KEGG ID	UniProt ID	Gene	Protein	# SR in AS	Mean SR - AS minimum distance	cys in AS	# SR in BS	Mean SR - BS minimum distance	cys in BS	# Disulfide bonds	Mean S-S - AS/BS minimum distance	Cofactor	Subsystem	Evidence	Study organism	ecNumber	EC class	BRENDA evidence	BRENDA organism
PP_0946	Q88PA4	sodA	Superoxide dismutase	0	0.0	0	3	4.61	0	0	0.0		Unassigned	"Superoxide dismutase (Mn-SOD/Fe-SOD families) can be directly inactivated by peroxynitrite-mediated nitration (doi:10.1073/pnas.93.21.11853) ; BRENDA"	Human	1.15.1.1	Oxidoreductases	" An, S.S.; Kim, Y.M.: Purification and characterization of a manganese-containing superoxide dismutase from a carboxydobacterium, Pseudomonas carboxydohydrogena:: Mol. Cells (1997) 7, 730-737. {Pubmed:9509413}"	Stemona tuberosa AND Marinomonas sp. AND Homo sapiens AND Thermochaetoides thermophila AND Geobacillus stearothermophilus AND Leptolyngbya boryana AND Methanothermobacter thermautotrophicus AND Potentilla atrosanguinea AND Leishmania tropica AND Psidium guajava AND Chersonesometrus fulvipes AND Pseudoalteromonas haloplanktis AND Methanobacterium bryantii AND [Pseudomonas] carboxydohydrogena AND Halobacterium salinarum AND Arthrospira platensis AND Oplegnathus fasciatus AND Aeropyrum pernix AND Saccharomyces cerevisiae AND Bacteroides fragilis AND Photobacterium damselae subsp. piscicida AND Sinorhizobium meliloti AND Propionibacterium freudenreichii subsp. shermanii AND Rattus norvegicus AND Sus scrofa AND Cordyceps militaris AND Solanum lycopersicum AND Pinus sylvestris AND Radix lethospermi AND Aspergillus fumigatus AND Coxiella burnetii AND Candida albicans AND Deinococcus radiophilus AND Nocardia asteroides AND Gallus gallus AND Crithidia fasciculata AND Cryptosporidium parvum AND Perkinsus marinus AND Jatropha curcas AND Sonneratia alba AND Deschampsia antarctica AND Pseudomonas putida AND Bacteroides thetaiotaomicron AND Pisum sativum AND Saccharolobus solfataricus AND Ulva linza AND Curcuma longa AND Escherichia coli AND Rhodothermus sp. AND Caragana jubata AND Amaranthus hypochondriacus AND Avicennia marina AND Megalodesulfovibrio gigas AND Spirometra erinaceieuropaei AND Phytomonas sp. AND Sardinella aurita AND Porphyridium purpureum AND Curcuma aromatica AND Methylobacillus sp. AND Paracoccus denitrificans AND Acholeplasma laidlawii AND Zea mays AND Trypanosoma cruzi AND Nicotiana sp. AND Caulobacter vibrioides AND Trichinella pseudospiralis AND Trypanosoma brucei AND Virgibacillus halodenitrificans AND Pseudoalteromonas sp. AN AND Cenchrus americanus AND Clonorchis sinensis AND Thermoplasma acidophilum AND Mycolicibacterium phlei AND Crypthecodinium cohnii AND Klebsiella aerogenes AND Streptococcus mutans AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Mus musculus AND Photobacterium leiognathi AND Gordonia bronchialis AND Cereibacter sphaeroides AND Neospora caninum AND Ginkgo biloba AND Nuphar lutea AND Spinacia oleracea AND Methanobrevibacter arboriphilus AND Mycobacterium sp.
PP_0100	Q88RM9	cynT	Carbonic anhydrase	0	0.0	0	3	4.7	2	1	16.04	Zn(2+) (Zn)	Unassigned		Human	4.2.1.1	Lyases		
PP_0510	Q88QI2	trx	Thioredoxin	0	0.0	0	0	0.0	0	0	0.0		S_Sulfur_Metabolism AND Unassigned AND S_Purine_Metabolism AND S_Pyrimidine_Metabolism	Tioredoxin suffers from redox reactions and regulates other enzymes in the metabolism : 10.1089/ars.2009.2683 (doi:10.1074/jbc.M801047200)	Human		Unk		
PP_0665	Q88Q33		Glyceraldehyde-3-phosphate dehydrogenase	0	0.0	0	0	0.0	0	0	0.0		S_Gluconeogenesis	Glyceraldehyde-3-phosphate dehydrogenase undergoes direct oxidative modifications that inhibit its activity (doi:10.1042/BJ20090854)	Human	1.2.1.-	Oxidoreductases		
PP_2149	Q88KZ0	gapB	Glyceraldehyde-3-phosphate dehydrogenase	0	0.0	0	0	0.0	0	0	0.0		S_Gluconeogenesis	Glyceraldehyde-3-phosphate dehydrogenase undergoes direct oxidative modifications that inhibit its activity (doi:10.1042/BJ20090854)	Human	1.2.1.-	Oxidoreductases		
PP_2375	Q88KB5	metH	Methionine synthase	0	0.0	0	8	4.89	3	0	0.0	Zn(2+) (Zn) AND methylcob(III)alamin (C63H91CoN13O14P)	S_Methionine_Metabolism	Oxidative stress (high ROS) inactivates it ( doi: 10.3389/fnins.2014.00444)	Human	2.1.1.13	Transferases		
PP_3443	Q88HB7		Glyceraldehyde-3-phosphate dehydrogenase	0	0.0	0	0	0.0	0	0	0.0		S_Gluconeogenesis	Glyceraldehyde-3-phosphate dehydrogenase undergoes direct oxidative modifications that inhibit its activity (doi:10.1042/BJ20090854)	Human	1.2.1.-	Oxidoreductases		
PP_5351	Q88C32	zwf	Glucose-6-phosphate 1-dehydrogenase	1	3.84	0	2	3.95	0	0	0.0		S_Glycolysis	Inactivation of human glucose 6-phosphate dehydrogenase (G6PDH) by peroxyl radicals is strongly modulated by its substrate and cofactor. DOI: 10.1016/j.freeradbiomed.2025.03.030	Human	1.1.1.49	Oxidoreductases		
PP_0115	Q88RL4	katE	Catalase	1	5.35	0	5	4.53	0	0	0.0	heme (Fe_heme)	Unassigned	"Catalase can be directly inactivated by ROS (DOI: 10.1039/D2CB00091A) ; BRENDA"	Many	1.11.1.6	Oxidoreductases	" Amo, T.; Atomi, H.; Imanaka, T.: Unique presence of a manganese catalase in a hyperthermophilic archaeon, Pyrobaculum calidifontis VA1:: J. Bacteriol. (2002) 184, 3305-3312. {Pubmed:12029047}"	Brassica oleracea AND Kloeckera sp. AND Rhodobacter capsulatus AND Homo sapiens AND Beta vulgaris subsp. cicla AND Bos taurus AND Thermoascus aurantiacus AND Escherichia coli AND Oceanobacillus oncorhynchi AND Halobacterium salinarum AND Oryza sativa
PP_3713	Q88GK8	catA-I	catechol 1,2-dioxygenase	0	0.0	0	0	0.0	0	0	0.0	Fe(3+) (Fe)	S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway	"Rates of inactivation were reduced in the presence of superoxide dismutase, catalase, formate, and mannitol, which implies that superoxide anion, hydrogen peroxide, and hydroxyl radical exhibit additional inactivation. (DOI: 10.1128/aem.47.3.500?505.1984) ; BRENDA"	Pseudomonas putida	1.13.11.1	Oxidoreductases		Geobacillus sp.
PP_4011	Q88FS2	icd	Isocitrate dehydrogenase [NADP]	0	0.0	0	11	4.51	0	0	0.0	Mn(2+) (Mn) AND Mn(2+) (Mn)	S_TCA_Cycle	"Inactivation of the enzyme by peroxynitrite or similar species (?ôDependent Isocitrate Dehydrogenase by Peroxynitrite?ö) ; BRENDA"	Pig	1.1.1.42	Oxidoreductases		Rattus norvegicus AND Arabidopsis thaliana
PP_4187	Q88FB1	lpdG	Dihydrolipoyl dehydrogenase	1	3.03	0	7	4.3	1	1	3.15		S_TCA_Cycle AND S_Glycine__Serine_and_threonine_metabolism	"ROS inhibits enzyme in eukariotes, similar properties in homologous prokariotic proteins (doi: 10.3109/10715762.2012.752078)(""Changes in dihydrolipoamide dehydrogenase expression and oxidative inactivation in vitro"") ; BRENDA"	Rat	1.8.1.4	Oxidoreductases		Rattus norvegicus
PP_5366	Q88C17	lpd	Dihydrolipoyl dehydrogenase	1	3.01	0	5	4.75	0	1	7.6		S_TCA_Cycle	"ROS inhibits enzyme in eukariotes, similar properties in homologous prokariotic proteins (doi: 10.3109/10715762.2012.752078)(?â?é?é?ôReversible inactivation of dihydrolipoamide dehydrogenase by mitochondrial hydrogen peroxide?â?é?é?ö) ; BRENDA"	Rat	1.8.1.4	Oxidoreductases		Rattus norvegicus
PP_3942	Q88FY4	maiA	Maleate isomerase	2	4.73	2	3	4.21	1	0	0.0		S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway	"cis-trans isomerase gene (maiA) from Serratia marcescens : The enzyme has shown to be inactivated by H202 ( DOI: 10.1271/bbb.64.1477 ) ; BRENDA"	Serratia marcescens	5.2.1.1	Isomerases	" Hatakeyama, K.; Asai, Y.; Uchida, Y.; Kobayashi, M.; Terasawa, M.; Yukawa, H.: Gene cloning and characterization of maleate cis-trans-isomerase from Alcaligenes faecalis:: Biochem. Biophys. Res. Commun. (1997) 239, 74-79. {Pubmed:9345272} (c) AND  Hatakeyama, K.; Goto, M.; Kobayashi, M.; Terasawa, M.; Yukawa, H.: Analysis of oxidation sensitivity of maleate cis-trans isomerase from Serratia marcescens:: Biosci. Biotechnol. Biochem. (2000) 64, 1477-1485. {Pubmed:10945267} (c)"	Serratia marcescens AND Alcaligenes faecalis
PP_5032	Q88CZ7	hutH	Histidine ammonia-lyase	0	0.0	0	0	0.0	0	0	0.0		S_Histidine_Metabolism	BRENDA		4.3.1.3	Lyases		Achromobacter liquidum
PP_1703	Q88M71		Assimilatory nitrate reductase/sulfite reductase	0	0.0	0	0	0.0	0	0	0.0	Mo-bis(molybdopterin guanine dinucleotide) (C40H44MoN20O27P4S4) AND [4Fe-4S] cluster (Fe4S4)	S_Nitrogen_Metabolism	BRENDA		1.9.6.1	Oxidoreductases		Achromobacter sp. MMT
PP_0732	Q88PW6	hemA	Glutamyl-tRNA reductase	1	3.83	1	6	4.85	1	0	0.0		S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism	BRENDA		1.2.1.70	Oxidoreductases		Acidithiobacillus ferrooxidans
PP_1977	Q88LF6	gltX	Glutamate--tRNA ligase	0	0.0	0	0	0.0	0	0	0.0		S_tRNA_Charging	BRENDA		6.1.1.17	Ligases		Acidithiobacillus ferrooxidans
PP_4715	Q88DV4	tpiA	Triosephosphate isomerase	1	4.37	0	1	5.1	0	0	0.0		S_Gluconeogenesis	BRENDA		5.3.1.1	Isomerases		Arabidopsis thaliana AND Chlamydomonas reinhardtii
PP_3668	Q88GQ0	katG	Catalase-peroxidase	1	3.86	0	2	5.24	0	0	0.0	heme b (C34H30FeN4O4)	Unassigned	BRENDA		1.11.1.21	Oxidoreductases	" Steinman, H.M.; Fareed, F.; Weinstein, L.: Catalase-peroxidase of Caulobacter crescentus: function and role in stationary-phase survival:: J. Bacteriol. (1997) 179, 6831-6836. {Pubmed:9352936} AND  Carpena, X.; Loprasert, S.; Mongkolsuk, S.; Switala, J.; Loewen, P.C.; Fita, I.: Catalase-peroxidase KatG of Burkholderia pseudomallei at 1.7A resolution:: J. Mol. Biol. (2003) 327, 475-489. {Pubmed:12628252}"	Archaeoglobus fulgidus AND Rhodobacter capsulatus AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Oceanobacillus oncorhynchi subsp. incaldanensis AND Escherichia coli AND Halobacterium salinarum
PP_1001	Q88P52	arcA	Arginine deiminase	1	3.87	1	0	0.0	0	0	0.0		S_Arginine_and_Proline_Metabolism	BRENDA		3.5.3.6	Hydrolases		Aspergillus nidulans
PP_4286	Q88F13	puuE	Allantoinase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism	BRENDA		3.5.2.5	Hydrolases		Bacillus licheniformis
PP_4854	Q88DH1	lip	Lipase	0	0.0	0	0	0.0	0	0	0.0		S_Fatty_Acid_Metabolism	BRENDA		3.1.1.3	Hydrolases		Bacillus licheniformis AND Pseudomonas fluorescens AND Staphylococcus caprae AND Geobacillus stearothermophilus
PP_0398	Q88QT9	glpE	Thiosulfate sulfurtransferase GlpE	1	3.85	1	0	0.0	0	0	0.0		S_Sulfur_Metabolism	BRENDA		2.8.1.1	Transferases		Bos taurus
PP_4907	Q88DC0	rhdA	Sulfurtransferase	0	0.0	0	0	0.0	0	0	0.0		S_Sulfur_Metabolism	BRENDA		2.8.1.1	Transferases		Bos taurus
PP_5118	Q88CR2	sseA	3-mercaptopyruvate sulfurtransferase	0	0.0	0	0	0.0	0	0	0.0		S_Sulfur_Metabolism	BRENDA		2.8.1.1	Transferases		Bos taurus
PP_0481	Q88QK9	katA	Catalase	1	5.31	0	1	6.04	0	0	0.0	heme (Fe_heme)	Unassigned	"Catalase can be directly inactivated by ROS ( DOI: 10.1155/2019/9613090 ) ; BRENDA"		1.11.1.6	Oxidoreductases	" Amo, T.; Atomi, H.; Imanaka, T.: Unique presence of a manganese catalase in a hyperthermophilic archaeon, Pyrobaculum calidifontis VA1:: J. Bacteriol. (2002) 184, 3305-3312. {Pubmed:12029047}"	Brassica oleracea AND Kloeckera sp. AND Rhodobacter capsulatus AND Homo sapiens AND Beta vulgaris subsp. cicla AND Bos taurus AND Thermoascus aurantiacus AND Escherichia coli AND Oceanobacillus oncorhynchi AND Halobacterium salinarum AND Oryza sativa
PP_3766	Q88GF8	gloA	Lactoylglutathione lyase	0	4.41	0	1	4.32	0	0	0.0	Ni(2+) (Ni) AND Zn(2+) (Zn)	S_Pyruvate_Metabolism	BRENDA		4.4.1.5	Lyases		Caenorhabditis elegans
PP_0072	Q88RQ7	qor-I	NADPH:quinone reductase	0	0.0	0	0	0.0	0	0	0.0		Unassigned	BRENDA		1.6.5.5	Oxidoreductases	" Huang, Q.L.; Du, X.Y.; Stone, S.H.; Amsbaugh, D.F.; Datiles, M.; Hu, T.S.; Zigler, J.S.: Association of hereditary cataracts in strain 13/N guinea-pigs with mutation of the gene for zeta-crystallin:: Exp. Eye Res. (1990) 50, 317-325. {Pubmed:2318275}"	Cavia porcellus
PP_3606	Q88GW1	qor-II	Quinone oxidoreductase	0	0.0	0	0	0.0	0	0	0.0		Unassigned	BRENDA		1.6.5.5	Oxidoreductases	" Huang, Q.L.; Du, X.Y.; Stone, S.H.; Amsbaugh, D.F.; Datiles, M.; Hu, T.S.; Zigler, J.S.: Association of hereditary cataracts in strain 13/N guinea-pigs with mutation of the gene for zeta-crystallin:: Exp. Eye Res. (1990) 50, 317-325. {Pubmed:2318275}"	Cavia porcellus
PP_2080	Q88L55	gdhB	NAD-specific glutamate dehydrogenase	0	0.0	0	0	0.0	0	0	0.0		S_Glutamate_Metabolism	BRENDA		1.4.1.2	Oxidoreductases		Clostridium botulinum
PP_2943	Q88IQ6		Cytochrome c551 peroxidase	0	0.0	0	7	4.64	4	0	0.0	heme (Fe_heme)	Unassigned	BRENDA		1.11.1.5	Oxidoreductases		Cryptococcus neoformans AND Saccharomyces cerevisiae
PP_2095	Q88L40	pyrD	Dihydroorotate dehydrogenase (quinone)	0	3.87	0	7	5.4	0	0	0.0		S_Pyrimidine_Metabolism	BRENDA		1.3.5.2	Oxidoreductases		Enterococcus faecalis
PP_1231	Q88NH8	nadA	Quinolinate synthase	0	0.0	0	8	4.46	3	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis	BRENDA		2.5.1.72	Transferases	" Volbeda, A.; Darnault, C.; Renoux, O.; Reichmann, D.; Amara, P.; Ollagnier de Choudens, S.; Fontecilla-Camps, J.C.: Crystal Structures of quinolinate synthase in complex with a substrate analogue, the condensation intermediate, and substrate-derived product:: J. Am. Chem. Soc. (2016) 138, 11802-11809. {Pubmed:27545412}"	Escherichia coli
PP_1010	Q88P43	edd	Phosphogluconate dehydratase	0	0.0	0	2	5.31	2	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Glycolysis	BRENDA		4.2.1.12	Lyases		Escherichia coli
PP_2465	Q88K27	thrS	Threonine--tRNA ligase	0	0.0	0	3	4.16	1	0	0.0	Zn(2+) (Zn)	S_tRNA_Charging	BRENDA		6.1.1.3	Ligases		Escherichia coli
PP_3189	Q88I13	codA	Cytosine deaminase / isoguanine deaminase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism AND S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism AND S_Pyrimidine_Metabolism	BRENDA		3.5.4.1	Hydrolases		Escherichia coli
PP_4264	Q88F35	hemN	Coproporphyrinogen-III oxidase	0	0.0	0	8	4.42	4	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism	BRENDA		1.3.98.3	Oxidoreductases		Escherichia coli
PP_1866	Q88LR3	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase	0	0.0	0	4	4.55	1	0	0.0	Mn(2+) (Mn) AND Co(2+) (Co) AND Cd(2+) (Cd)	S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis	BRENDA		2.5.1.54	Transferases		Escherichia coli AND Escherichia coli
PP_2324	Q88KG6	aroF-I	Phospho-2-dehydro-3-deoxyheptonate aldolase	0	0.0	0	0	0.0	0	0	0.0		S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis	BRENDA		2.5.1.54	Transferases		Escherichia coli AND Escherichia coli
PP_3080	Q88IB9	aroF-II	Phospho-2-dehydro-3-deoxyheptonate aldolase	0	0.0	0	0	0.0	0	0	0.0		S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis	BRENDA		2.5.1.54	Transferases		Escherichia coli AND Escherichia coli
PP_5040	Q88CY9	fbp	Fructose-1,6-bisphosphatase class 1	0	0.0	0	1	4.41	0	0	0.0		S_Glycolysis	BRENDA		3.1.3.11	Hydrolases		Euglena gracilis
PP_3166	Q88I35	catA-II	catechol 1,2-dioxygenase	0	0.0	0	0	0.0	0	0	0.0	Fe(3+) (Fe)	S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway	BRENDA		1.13.11.1	Oxidoreductases		Geobacillus sp.
PP_3821	Q88GA4	galU	UTP--glucose-1-phosphate uridylyltransferase	0	0.0	0	0	0.0	0	0	0.0		S_Starch_and_Sucrose_Metabolism	BRENDA		2.7.7.9	Transferases		Giardia intestinalis
PP_0823	P59392	selD	Selenide, water dikinase	1	5.08	1	2	5.21	0	0	0.0		Unassigned	BRENDA		2.7.9.3	Transferases		Haemophilus influenzae AND Escherichia coli
PP_1823	Q88LV4	folE1	GTP cyclohydrolase 1 1	0	0.0	0	0	0.0	0	0	0.0		S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis	BRENDA		3.5.4.16	Hydrolases		Homo sapiens
PP_2512	Q88JY1	folE2	GTP cyclohydrolase 1 2	0	0.0	0	0	0.0	0	0	0.0		S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis	BRENDA		3.5.4.16	Hydrolases		Homo sapiens
PP_3324	Q88HM9	folE2	GTP cyclohydrolase FolE2	0	0.0	0	1	3.82	1	0	0.0		S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis	BRENDA		3.5.4.16	Hydrolases		Homo sapiens
PP_4594	Q88E72		Cystathionine gamma-synthase	0	0.0	0	0	0.0	0	0	0.0		S_Cysteine_Metabolism AND S_Methionine_Metabolism	BRENDA		4.4.1.1	Lyases		Homo sapiens
PP_5141	Q88CN9	thyA	Thymidylate synthase	1	3.84	1	6	4.62	0	0	0.0		S_Pyrimidine_Metabolism	BRENDA		2.1.1.45	Transferases		Lacticaseibacillus casei
PP_0416	Q88QS2		Phosphoglycolate phosphatase	0	3.84	0	0	0.0	0	0	0.0		S_Glyoxylate_and_dicarboxylate_metabolism	BRENDA		3.1.3.18	Hydrolases		Mus musculus
PP_0422	Q88QR6	trpC	Indole-3-glycerol phosphate synthase	0	0.0	0	0	0.0	0	0	0.0		S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis	BRENDA		4.1.1.48	Lyases		Mycobacterium tuberculosis
PP_3778	Q88GE6	proC	Pyrroline-5-carboxylate reductase	0	0.0	0	2	5.6	0	0	0.0		S_Arginine_and_Proline_Metabolism	BRENDA		1.5.1.2	Oxidoreductases		Mycobacterium tuberculosis
PP_5095	Q88CT5	proI	Pyrroline-5-carboxylate reductase	0	0.0	0	2	6.28	0	0	0.0		S_Arginine_and_Proline_Metabolism	BRENDA		1.5.1.2	Oxidoreductases		Mycobacterium tuberculosis
PP_5258	Q88CC3	amaB	aldehyde dehydrogenase (NAD(+))	0	3.8	0	0	0.0	0	0	0.0		S_Lysine_Metabolism	BRENDA		1.2.1.3	Oxidoreductases	" Missihoun, T.; Kotchoni, S.; Bartels, D.: Aldehyde dehydrogenases function in the homeostasis of pyridine nucleotides in Arabidopsis thaliana:: Sci. Rep. (2018) 8, 2936. {Pubmed:29440669}"	Nocardia sp. AND Sulfurisphaera tokodaii
PP_2178	Q88KW1	puuA-I	Glutamate-putrescine ligase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism	BRENDA		6.3.1.2	Ligases		Ovis aries AND Mus musculus AND Medicago truncatula
PP_3148	Q88I53		Glutamine synthetase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism	BRENDA		6.3.1.2	Ligases		Ovis aries AND Mus musculus AND Medicago truncatula
PP_4399	Q88EQ4		Glutamine synthetase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism	BRENDA		6.3.1.2	Ligases		Ovis aries AND Mus musculus AND Medicago truncatula
PP_4547	Q88EB9		Glutamine synthetase	0	0.0	0	0	0.0	0	0	0.0		S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism	BRENDA		6.3.1.2	Ligases		Ovis aries AND Mus musculus AND Medicago truncatula
PP_5046	Q88CY3	glnA	Glutamine synthetase	0	0.0	0	6	4.9	0	0	0.0		S_Glutamate_Metabolism	BRENDA		6.3.1.2	Ligases		Ovis aries AND Mus musculus AND Medicago truncatula
